,age,job,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,deposit
40,60,1,0,2,1262,1,1,13,4,1015,1,-1,0,1
41,48,0,0,1,1949,1,0,13,4,683,2,-1,0,1
42,45,8,2,1,-395,1,0,13,4,470,1,-1,0,1
43,36,1,0,0,1165,1,0,13,4,1001,4,-1,0,1
45,35,1,2,2,300,1,0,13,4,945,2,-1,0,1
46,43,2,0,0,3285,1,0,13,4,1721,2,-1,0,1
47,52,10,0,0,3923,1,0,14,4,942,3,-1,0,1
48,53,2,2,2,1443,1,0,14,4,476,1,-1,0,1
49,48,1,2,2,24,1,0,14,4,832,1,-1,0,1
50,41,1,1,2,1618,1,0,14,4,1553,1,-1,0,1
51,39,0,2,1,517,1,1,14,4,1328,1,-1,0,1
52,59,5,0,0,1521,1,1,14,4,1125,2,-1,0,1
53,41,1,0,0,2823,1,0,14,4,858,1,-1,0,1
54,48,1,0,0,1405,1,0,14,4,629,2,-1,0,1
55,40,3,0,0,1535,1,0,14,4,704,1,-1,0,1
56,48,1,0,0,1596,1,0,14,4,760,1,-1,0,1
57,60,5,0,2,1542,1,0,14,4,930,1,-1,0,1
59,57,2,0,1,-1,0,0,14,4,850,2,-1,0,1
60,51,1,0,0,7180,1,0,14,4,927,1,-1,0,1
61,41,1,2,0,5291,1,0,14,4,1423,3,-1,0,1
62,41,1,0,0,1384,1,0,15,4,1162,4,-1,0,1
63,52,1,2,2,-191,1,0,15,4,755,1,-1,0,1
64,59,1,0,2,320,1,0,15,4,695,1,-1,0,1
67,40,4,0,2,-9,1,0,15,4,920,2,-1,0,1
68,41,3,0,2,-306,1,0,15,4,500,1,-1,0,1
69,44,2,0,1,4580,1,0,15,4,911,2,-1,0,1
70,60,4,1,2,313,1,0,15,4,920,2,-1,0,1
71,29,0,0,1,10576,0,0,15,4,1224,2,-1,0,1
72,41,5,2,2,-233,1,0,15,4,1156,2,-1,0,1
73,41,1,0,2,2453,1,0,15,4,1052,1,-1,0,1
74,42,2,1,0,1364,1,0,15,4,1867,6,-1,0,1
76,39,2,0,1,94,1,1,16,4,813,1,-1,0,1
77,31,6,1,1,144,1,0,16,4,676,1,-1,0,1
78,26,1,0,0,246,1,0,16,4,1143,3,-1,0,1
79,31,1,0,0,92,1,0,16,4,688,1,-1,0,1
80,29,3,1,0,163,1,1,16,4,803,1,-1,0,1
81,37,4,2,0,49,1,0,16,4,619,2,-1,0,1
82,33,1,1,0,-416,1,0,16,4,767,2,-1,0,1
83,24,2,1,0,409,1,0,16,4,912,1,-1,0,1
84,50,3,2,0,363,1,0,16,4,1340,1,-1,0,1
85,27,2,1,1,3706,1,0,16,4,897,1,-1,0,1
86,54,0,1,1,4393,1,0,16,4,1297,3,-1,0,1
87,30,2,1,0,863,1,0,16,4,1193,5,-1,0,1
88,34,1,0,2,695,1,1,16,4,1064,4,-1,0,1
89,37,0,1,0,792,1,0,16,4,1187,4,-1,0,1
90,41,3,1,0,1020,1,0,19,4,882,1,-1,0,1
91,47,1,0,0,863,1,0,19,4,943,2,-1,0,1
92,31,3,0,0,97,1,0,19,4,607,1,-1,0,1
93,31,1,0,0,754,1,0,19,4,1022,4,-1,0,1
94,43,4,2,0,1040,1,0,19,4,552,3,-1,0,1
95,37,0,2,1,122,1,0,19,4,1622,2,-1,0,1
96,30,2,1,1,880,1,1,19,4,967,6,-1,0,1
97,41,2,0,0,501,1,0,19,4,579,5,-1,0,1
98,36,1,0,0,4438,1,0,20,4,446,1,-1,0,1
99,35,1,2,0,0,1,0,20,4,1205,1,-1,0,1
100,29,4,1,0,271,1,0,20,4,1882,2,-1,0,1
101,35,1,0,2,102,1,0,20,4,1334,1,-1,0,1
102,31,1,0,0,2,1,0,20,4,182,2,-1,0,1
103,35,4,0,0,4170,1,0,20,4,1777,1,-1,0,1
104,34,2,1,0,85,1,0,20,4,1182,4,-1,0,1
105,31,3,1,0,431,1,1,20,4,1045,1,-1,0,1
106,44,2,2,0,982,1,0,20,4,650,3,-1,0,1
107,36,1,0,2,408,1,1,20,4,1063,2,-1,0,1
109,41,1,0,2,1250,1,0,20,4,1392,2,-1,0,1
110,31,1,1,2,216,1,0,21,4,565,1,-1,0,1
111,34,1,0,0,1207,1,0,21,4,905,1,-1,0,1
112,32,2,0,0,791,1,0,21,4,783,2,-1,0,1
113,36,0,0,1,849,1,1,21,4,958,2,-1,0,1
114,30,1,1,0,239,1,0,21,4,412,1,-1,0,1
115,37,2,1,0,1211,1,0,21,4,795,1,-1,0,1
116,36,1,0,2,599,1,0,21,4,649,2,-1,0,1
117,31,0,1,1,825,1,0,21,4,506,2,-1,0,1
118,27,2,0,0,2183,1,1,21,4,857,1,-1,0,1
119,34,5,0,2,4499,0,0,21,4,1681,1,-1,0,1
120,30,2,1,1,1289,1,0,21,4,1697,2,-1,0,1
121,32,2,1,1,4665,1,0,21,4,860,2,-1,0,1
122,37,2,1,0,3326,1,0,21,4,799,1,-1,0,1
123,32,1,0,0,783,1,0,21,4,923,3,-1,0,1
124,33,1,0,0,0,1,0,21,4,521,3,-1,0,1
125,35,1,0,2,994,1,0,23,4,1349,8,-1,0,1
126,35,6,2,1,1354,1,0,23,4,736,2,-1,0,1
127,30,1,1,0,239,1,0,23,4,785,1,-1,0,1
128,45,1,2,2,-311,1,0,23,4,1030,1,-1,0,1
129,45,3,0,0,149,1,0,23,4,893,3,-1,0,1
130,33,1,0,0,1464,1,0,23,4,588,3,-1,0,1
131,44,0,2,1,5773,0,0,23,4,597,6,-1,0,1
132,40,1,0,2,278,1,0,23,4,1015,3,-1,0,1
133,31,1,0,0,2910,1,0,23,4,1392,2,-1,0,1
134,30,2,0,1,541,1,0,26,4,414,2,-1,0,1
135,44,2,2,0,1262,1,0,26,4,788,11,-1,0,1
136,34,4,0,0,-538,1,0,26,4,682,1,-1,0,1
137,37,1,0,0,125,0,0,26,4,679,2,-1,0,1
138,28,6,1,1,0,1,0,26,4,1560,2,-1,0,1
139,32,3,1,0,620,1,0,26,4,1234,3,-1,0,1
140,37,1,2,0,316,1,0,26,4,642,2,-1,0,1
141,34,0,0,1,2287,1,0,26,4,895,4,-1,0,1
142,38,3,2,0,198,1,0,26,4,431,2,-1,0,1
143,28,3,1,0,460,1,0,26,4,741,6,-1,0,1
144,31,0,2,1,1145,1,0,26,4,1272,4,-1,0,1
145,59,4,0,0,-22,1,0,26,4,748,3,-1,0,1
146,24,1,0,0,685,1,0,26,4,896,3,-1,0,1
147,26,4,1,0,901,1,0,26,4,764,2,-1,0,1
148,59,5,1,0,351,1,0,27,4,1063,5,-1,0,1
149,30,8,1,2,0,1,1,27,4,1051,1,-1,0,1
150,37,3,0,0,274,1,0,27,4,731,3,-1,0,1
151,30,3,1,0,-213,1,1,27,4,751,1,-1,0,1
152,25,1,0,0,97,1,0,27,4,709,1,-1,0,1
153,44,4,2,0,51,1,1,27,4,3094,2,-1,0,1
154,29,0,0,1,314,0,0,28,4,938,2,-1,0,1
155,26,0,1,1,6840,1,0,28,4,1560,2,-1,0,1
156,26,2,1,0,668,1,0,28,4,576,3,-1,0,1
157,27,4,1,0,54,1,0,28,4,543,2,-1,0,1
158,25,6,1,0,1242,1,0,28,4,615,2,-1,0,1
159,28,0,0,0,292,1,0,28,4,507,1,-1,0,1
160,23,4,1,0,665,1,0,28,4,1183,1,-1,0,1
161,34,0,1,1,1058,1,0,28,4,864,2,-1,0,1
162,28,9,1,0,949,1,0,28,4,1730,1,-1,0,1
164,35,1,0,0,0,1,1,29,4,543,1,-1,0,1
165,35,3,0,0,404,1,0,29,4,539,1,-1,0,1
166,56,1,0,0,249,1,0,29,4,791,2,-1,0,1
167,45,7,2,0,3354,1,0,29,4,746,1,-1,0,1
168,60,1,2,0,0,1,0,29,4,1207,1,-1,0,1
169,56,2,0,0,589,1,0,29,4,535,2,-1,0,1
170,27,0,1,1,12956,1,0,29,4,789,3,-1,0,1
171,30,3,0,0,873,1,0,29,4,792,3,-1,0,1
172,45,1,2,2,594,1,0,29,4,833,2,-1,0,1
173,29,1,1,0,-20,1,0,29,4,814,2,-1,0,1
174,38,0,2,1,4692,1,0,29,4,1363,2,-1,0,1
175,30,1,0,0,486,1,0,29,4,1109,3,-1,0,1
176,44,1,1,2,1593,1,0,29,4,828,3,-1,0,1
177,36,0,1,1,7606,1,0,30,4,917,1,-1,0,1
178,38,2,0,0,226,1,0,30,4,762,3,-1,0,1
179,36,1,1,0,366,1,1,30,4,1133,2,-1,0,1
180,37,0,2,0,16,1,0,30,4,638,1,-1,0,1
181,35,0,1,1,565,1,0,30,4,763,1,-1,0,1
182,38,3,2,0,19,1,0,30,4,604,2,-1,0,1
183,40,4,0,2,1082,1,0,30,4,854,2,-1,0,1
184,42,7,2,0,1713,1,0,30,4,855,2,-1,0,1
185,46,0,2,1,14481,1,0,30,4,1269,1,-1,0,1
186,35,2,2,0,5724,1,0,30,4,691,10,-1,0,1
187,34,2,2,0,1451,1,0,30,4,1097,15,-1,0,1
188,32,4,0,0,-34,1,0,30,4,1236,2,-1,0,1
189,50,7,0,0,3674,1,0,30,4,886,3,-1,0,1
190,35,1,0,0,698,1,1,30,4,1343,3,-1,0,1
191,36,2,1,0,4136,1,0,30,4,812,3,-1,0,1
192,53,1,2,2,2656,1,0,30,4,1980,2,-1,0,1
193,46,0,1,1,2904,1,0,30,4,984,2,-1,0,1
194,26,0,1,1,1004,1,0,30,4,228,2,-1,0,1
195,45,2,1,0,410,1,0,30,4,891,4,-1,0,1
196,31,7,2,2,0,1,0,30,4,745,12,-1,0,1
197,29,0,1,1,0,1,0,30,4,539,12,-1,0,1
198,53,8,1,0,62,1,0,30,4,1044,5,-1,0,1
199,27,1,0,2,416,1,0,30,4,1193,2,-1,0,1
200,39,0,0,1,2763,1,0,2,5,526,2,-1,0,1
201,36,4,0,0,2984,1,0,2,5,394,1,-1,0,1
202,41,1,0,2,143,1,1,2,5,659,2,-1,0,1
203,36,4,0,2,0,1,0,2,5,1036,1,-1,0,1
204,32,2,0,0,696,1,0,2,5,815,1,-1,0,1
205,35,4,0,0,152,1,0,2,5,563,1,-1,0,1
206,36,0,1,1,-78,1,0,2,5,1068,1,-1,0,1
207,35,0,0,1,867,1,0,2,5,230,3,-1,0,1
208,30,1,1,0,953,1,0,2,5,747,2,-1,0,1
209,42,1,0,0,443,1,0,2,5,671,5,-1,0,1
210,42,2,1,0,-1129,1,0,2,5,555,5,-1,0,1
211,32,1,0,2,415,1,0,2,5,777,4,-1,0,1
212,29,1,1,0,260,1,0,2,5,707,14,-1,0,1
213,44,0,2,1,-411,1,0,2,5,432,4,-1,0,1
214,32,2,1,0,1279,1,0,3,5,1173,3,-1,0,1
215,31,7,0,0,86,1,1,3,5,963,2,-1,0,1
216,40,6,0,0,-754,1,1,3,5,941,3,-1,0,1
217,43,8,0,0,0,0,0,3,5,1025,7,-1,0,1
218,27,0,1,0,178,1,0,3,5,732,2,-1,0,1
219,37,4,1,0,278,1,0,3,5,1045,3,-1,0,1
220,23,4,1,0,425,1,0,3,5,768,1,-1,0,1
221,25,0,0,2,168,1,0,3,5,801,1,-1,0,1
222,26,1,1,0,-36,1,0,3,5,482,2,-1,0,1
223,47,1,2,2,126,1,0,3,5,2456,2,-1,0,1
224,35,3,0,0,-87,1,0,3,5,1363,7,-1,0,1
225,32,2,1,1,6281,1,0,3,5,1336,4,-1,0,1
226,45,0,2,0,644,1,0,4,5,633,1,-1,0,1
227,30,3,2,0,377,1,0,4,5,524,15,-1,0,1
228,29,4,1,0,-271,1,0,4,5,578,1,-1,0,1
229,38,1,0,2,5839,1,0,4,5,984,2,-1,0,1
230,23,1,1,0,492,1,0,4,5,638,1,-1,0,1
231,27,0,1,1,99,1,0,4,5,767,2,-1,0,1
232,27,0,1,1,-713,1,0,4,5,525,2,-1,0,1
233,29,4,1,0,32,1,0,4,5,563,1,-1,0,1
234,30,6,0,1,543,1,1,4,5,1449,6,-1,0,1
235,36,1,0,2,403,1,0,4,5,920,1,-1,0,1
236,35,3,2,0,437,1,0,4,5,908,1,-1,0,1
237,36,1,0,0,1772,0,0,5,5,208,1,-1,0,1
238,59,5,2,2,-88,1,0,5,5,910,2,-1,0,1
239,47,8,0,0,0,0,0,5,5,1446,1,-1,0,1
240,58,8,0,1,853,0,0,5,5,1149,2,-1,0,1
241,37,0,1,1,240,0,0,5,5,1123,1,-1,0,1
242,46,3,1,0,849,1,0,5,5,508,2,-1,0,1
243,43,1,1,0,318,1,0,5,5,736,2,-1,0,1
244,27,0,1,1,703,1,0,5,5,590,3,-1,0,1
245,38,4,2,0,61,0,0,5,5,636,1,-1,0,1
246,53,10,0,2,104,0,1,5,5,701,1,-1,0,1
247,47,1,0,0,1996,0,0,5,5,761,2,-1,0,1
248,56,10,2,2,1238,0,0,5,5,1558,1,-1,0,1
249,41,10,0,0,879,0,0,5,5,1053,2,-1,0,1
250,29,6,0,0,425,1,0,5,5,562,15,-1,0,1
251,50,2,0,0,416,1,0,5,5,494,5,-1,0,1
252,45,1,2,2,844,0,0,5,5,1018,3,-1,0,1
253,35,1,0,0,860,1,0,5,5,884,4,-1,0,1
254,26,2,1,0,639,1,0,6,5,709,5,-1,0,1
255,26,3,0,0,710,1,1,6,5,1276,2,-1,0,1
257,30,3,1,0,223,1,0,6,5,862,11,-1,0,1
258,38,0,1,1,619,1,0,6,5,460,4,-1,0,1
259,37,4,2,0,319,1,0,6,5,467,3,-1,0,1
260,53,2,0,0,480,0,0,6,5,648,2,-1,0,1
261,29,1,1,2,213,1,0,6,5,2653,3,-1,0,1
262,35,0,1,1,68,0,0,6,5,1085,1,-1,0,1
263,28,1,0,0,2788,1,0,6,5,369,2,-1,0,1
265,49,0,2,0,-46,1,0,9,5,1055,10,-1,0,1
266,50,4,0,0,1595,0,0,9,5,882,1,-1,0,1
267,43,0,1,1,1046,0,0,9,5,901,1,-1,0,1
268,58,6,2,1,1382,0,0,9,5,700,1,-1,0,1
269,38,2,0,2,217,1,0,9,5,491,6,-1,0,1
270,48,1,2,2,183,0,0,9,5,940,1,-1,0,1
271,59,0,0,0,1321,0,0,9,5,3881,3,-1,0,1
272,58,1,0,0,25,0,0,9,5,486,3,-1,0,1
273,36,6,1,1,4844,0,0,9,5,1137,3,-1,0,1
274,42,8,0,1,5345,0,0,11,5,878,3,-1,0,1
275,41,3,1,0,812,0,1,11,5,583,4,-1,0,1
276,42,3,0,0,105,0,0,11,5,1159,4,-1,0,1
277,39,0,0,1,-190,0,1,11,5,893,8,-1,0,1
278,57,10,0,2,625,0,1,11,5,867,1,-1,0,1
281,56,1,0,0,1210,0,0,11,5,935,1,-1,0,1
282,49,0,0,1,64,0,0,11,5,586,1,-1,0,1
284,36,7,0,0,1766,0,0,11,5,595,2,-1,0,1
285,40,3,1,1,1248,0,0,11,5,1290,2,-1,0,1
286,55,1,0,0,0,0,0,12,5,614,2,-1,0,1
287,58,3,0,0,826,0,0,12,5,885,1,-1,0,1
288,39,6,0,1,2630,0,0,12,5,651,5,-1,0,1
289,47,10,1,1,3727,0,0,12,5,993,6,-1,0,1
290,40,0,0,0,406,1,0,12,5,577,2,-1,0,1
291,35,1,0,1,2999,0,0,12,5,1141,6,-1,0,1
292,48,1,0,0,1000,1,0,12,5,1268,2,-1,0,1
293,48,0,2,1,503,0,1,12,5,1243,7,-1,0,1
294,24,1,1,0,-203,1,0,12,5,465,3,-1,0,1
295,49,1,0,2,361,1,0,16,5,513,2,-1,0,1
296,36,1,0,0,274,1,0,16,5,686,11,-1,0,1
297,52,5,2,1,3687,1,1,16,5,741,4,-1,0,1
299,36,4,0,0,981,0,0,16,5,1093,1,-1,0,1
300,36,1,2,0,638,1,0,16,5,1395,2,-1,0,1
301,48,7,1,1,3229,0,0,16,5,1089,1,-1,0,1
302,51,0,1,0,1610,1,0,16,5,1248,3,-1,0,1
303,51,1,0,0,33,0,1,16,5,721,3,-1,0,1
304,46,2,0,0,536,1,0,16,5,750,2,-1,0,1
305,37,0,0,1,0,0,0,16,5,637,6,-1,0,1
306,36,8,0,1,3057,0,0,16,5,2769,4,-1,0,1
307,47,0,0,0,2892,0,0,17,5,556,1,-1,0,1
308,40,2,2,1,0,0,0,17,5,522,1,-1,0,1
309,38,9,1,1,3316,0,0,17,5,1345,3,-1,0,1
310,40,0,0,0,106,0,0,17,5,676,2,-1,0,1
311,39,1,0,2,2303,1,0,17,5,775,3,-1,0,1
312,60,0,0,1,3301,0,0,17,5,2621,3,-1,0,1
313,39,6,1,1,426,0,0,18,5,1029,1,-1,0,1
314,51,4,2,0,9,0,0,18,5,371,2,-1,0,1
315,27,3,0,0,-97,1,0,18,5,1528,2,-1,0,1
316,41,0,1,1,11008,0,0,18,5,1540,1,-1,0,1
317,42,1,1,2,4930,0,0,18,5,973,1,-1,0,1
318,41,8,0,0,707,0,0,18,5,707,1,-1,0,1
319,33,2,0,0,4,1,1,18,5,625,2,-1,0,1
320,46,3,0,0,126,0,0,18,5,1255,1,-1,0,1
321,31,1,0,0,671,1,0,18,5,704,4,-1,0,1
322,41,1,0,2,219,0,1,18,5,1574,3,-1,0,1
323,41,1,2,0,3622,0,0,19,5,1135,4,-1,0,1
324,55,5,2,0,1580,0,1,19,5,1007,1,-1,0,1
325,53,2,0,0,1319,0,0,19,5,1318,3,-1,0,1
326,55,10,0,2,2152,0,0,19,5,922,2,-1,0,1
327,39,4,0,0,2843,1,0,19,5,585,1,-1,0,1
328,40,8,0,1,0,0,0,19,5,952,4,-1,0,1
329,59,5,0,2,1115,0,0,19,5,834,1,-1,0,1
330,42,1,1,0,625,0,0,19,5,651,3,-1,0,1
331,41,1,0,2,246,0,0,19,5,683,3,-1,0,1
332,27,1,0,0,61,1,0,19,5,1012,1,-1,0,1
333,25,1,1,0,-191,1,0,19,5,958,7,-1,0,1
334,43,7,0,2,519,0,0,20,5,973,2,-1,0,1
335,44,4,0,0,522,0,1,20,5,911,1,-1,0,1
336,26,1,1,0,-46,1,0,20,5,382,7,-1,0,1
337,52,5,0,1,2269,0,0,20,5,1210,1,-1,0,1
339,56,0,0,1,0,0,1,20,5,422,1,-1,0,1
340,57,0,0,1,9103,0,1,20,5,1098,2,-1,0,1
341,29,1,1,0,908,1,0,20,5,1663,1,-1,0,1
342,47,2,0,1,1694,0,1,20,5,560,3,-1,0,1
343,57,0,0,1,-92,1,1,20,5,1617,1,-1,0,1
344,40,1,0,0,188,1,1,20,5,570,2,-1,0,1
345,46,4,2,0,0,0,0,20,5,1023,3,-1,0,1
346,43,1,1,0,740,1,0,20,5,585,2,-1,0,1
347,45,0,0,1,655,0,0,20,5,693,3,-1,0,1
348,24,0,0,0,867,1,0,20,5,546,10,-1,0,1
349,40,1,0,0,1009,1,1,20,5,1036,5,-1,0,1
351,36,7,0,1,4145,0,0,20,5,988,4,-1,0,1
352,27,1,1,0,-27,0,0,23,5,498,2,-1,0,1
353,26,3,1,2,-122,1,0,23,5,670,3,-1,0,1
354,43,0,0,1,149,1,0,23,5,662,2,-1,0,1
355,25,1,1,2,52,1,0,24,5,528,2,-1,0,1
356,27,1,0,1,335,1,0,26,5,519,3,-1,0,1
357,30,2,0,1,526,1,1,26,5,677,3,-1,0,1
358,28,3,1,0,-7,0,1,26,5,3183,2,-1,0,1
359,27,1,0,2,-413,0,1,27,5,422,6,-1,0,1
360,32,3,2,0,-241,0,1,27,5,856,2,-1,0,1
361,41,1,1,0,75,1,0,1,6,479,9,-1,0,1
362,37,2,1,1,0,0,0,1,6,1135,2,-1,0,1
363,27,2,1,0,158,0,0,1,6,650,2,-1,0,1
364,29,4,1,0,84,0,1,3,6,587,3,-1,0,1
365,33,4,0,0,114,0,1,3,6,676,1,-1,0,1
366,36,2,0,2,0,0,0,4,6,584,1,-1,0,1
367,28,1,1,0,-127,1,0,4,6,1044,3,-1,0,1
368,55,1,0,0,49,1,0,7,6,494,4,-1,0,1
369,51,2,0,0,216,0,0,7,6,615,2,-1,0,1
370,39,2,1,0,506,1,0,7,6,718,2,-1,0,1
371,42,1,2,2,213,1,0,7,6,434,3,-1,0,1
372,33,4,1,0,170,0,0,7,6,782,1,-1,0,1
373,36,8,2,1,776,0,1,7,6,722,3,-1,0,1
374,45,2,0,0,879,0,0,7,6,621,2,-1,0,1
375,37,6,0,0,1633,0,0,7,6,629,2,-1,0,1
376,46,7,0,0,926,0,0,7,6,385,5,-1,0,1
377,32,6,1,1,2559,0,0,7,6,889,1,-1,0,1
378,28,2,1,0,909,0,1,7,6,532,1,-1,0,1
379,45,3,2,0,-176,0,1,7,6,574,1,-1,0,1
380,41,1,1,0,1085,1,1,7,6,599,1,-1,0,1
381,59,1,2,2,1265,0,1,7,6,849,1,-1,0,1
382,47,2,1,0,-239,1,1,7,6,973,3,-1,0,1
383,31,1,1,0,726,0,0,7,6,719,2,-1,0,1
384,31,0,1,1,296,0,1,8,6,509,4,-1,0,1
385,33,8,0,0,-627,1,1,8,6,740,1,-1,0,1
386,52,8,0,1,-468,0,0,8,6,534,1,-1,0,1
387,26,6,1,0,551,0,0,8,6,531,1,-1,0,1
388,25,2,1,0,0,0,1,8,6,634,1,-1,0,1
389,25,1,0,0,101,0,1,8,6,460,3,-1,0,1
390,28,1,1,0,517,0,1,8,6,681,1,-1,0,1
391,33,8,2,1,37,0,1,8,6,1082,1,-1,0,1
392,45,0,2,1,854,0,1,8,6,730,1,-1,0,1
393,36,4,0,0,30,0,1,8,6,716,5,-1,0,1
394,26,1,1,0,81,0,1,8,6,803,2,-1,0,1
395,38,2,0,0,0,0,0,8,6,635,1,-1,0,1
396,56,1,1,0,663,0,1,8,6,819,3,-1,0,1
397,26,3,1,0,102,0,1,8,6,658,2,-1,0,1
398,26,2,0,0,370,0,1,8,6,1061,4,-1,0,1
399,25,1,1,0,189,0,1,8,6,687,2,-1,0,1
400,26,7,1,0,111,0,0,9,6,537,1,-1,0,1
401,40,1,0,2,665,1,0,9,6,781,1,-1,0,1
402,37,3,0,2,214,1,0,9,6,645,1,-1,0,1
403,43,1,1,2,0,0,0,9,6,1242,1,-1,0,1
404,41,4,2,1,1583,1,0,9,6,662,1,-1,0,1
405,49,1,0,0,0,0,1,9,6,625,1,-1,0,1
406,29,3,2,1,0,0,1,9,6,426,3,-1,0,1
407,39,4,2,0,687,1,0,9,6,869,1,-1,0,1
408,38,0,0,1,327,1,1,9,6,556,5,-1,0,1
409,26,2,0,0,-119,0,1,9,6,359,5,-1,0,1
410,32,0,0,1,794,1,1,9,6,1014,1,-1,0,1
411,33,1,0,2,-191,1,1,9,6,1290,4,-1,0,1
412,31,0,1,1,409,0,1,9,6,564,5,-1,0,1
413,49,1,0,2,3,0,1,9,6,1439,6,-1,0,1
414,27,7,1,2,9,0,1,9,6,919,2,-1,0,1
415,30,1,1,0,155,1,1,9,6,1426,3,-1,0,1
416,35,1,0,0,1330,0,0,10,6,901,1,-1,0,1
417,26,1,1,0,-29,1,0,10,6,998,4,-1,0,1
419,34,3,0,0,-33,1,1,10,6,961,1,-1,0,1
420,28,3,1,0,-170,0,1,10,6,720,2,-1,0,1
421,25,1,1,0,1243,0,1,10,6,1341,7,-1,0,1
422,30,1,1,0,1598,1,0,10,6,634,1,-1,0,1
423,30,4,0,0,5,0,1,10,6,829,5,-1,0,1
424,47,4,0,0,367,1,0,10,6,476,4,-1,0,1
425,57,3,2,0,658,0,0,10,6,724,1,-1,0,1
426,38,0,0,1,1722,1,0,10,6,500,1,-1,0,1
427,54,2,0,0,-315,0,1,10,6,2029,1,-1,0,1
428,25,1,1,2,2483,0,0,10,6,1499,3,-1,0,1
429,30,1,0,0,0,1,1,10,6,1399,1,-1,0,1
430,26,0,1,1,45,0,0,10,6,1187,3,-1,0,1
431,31,9,0,2,46,1,0,10,6,487,1,-1,0,1
432,29,1,1,0,482,0,1,10,6,1097,3,-1,0,1
433,49,1,0,0,3728,1,0,11,6,1060,2,-1,0,1
434,60,5,2,0,1099,0,0,11,6,764,2,-1,0,1
435,60,0,0,1,2222,1,0,11,6,1120,2,-1,0,1
436,29,0,1,1,983,1,0,11,6,963,2,-1,0,1
437,55,0,2,0,204,1,0,11,6,1973,2,-1,0,1
438,44,3,0,0,1074,1,0,11,6,911,2,-1,0,1
439,47,2,0,0,3466,1,0,11,6,853,2,-1,0,1
440,35,3,0,0,-203,1,0,11,6,1649,2,-1,0,1
441,35,8,0,0,2436,0,1,14,6,1397,3,-1,0,1
442,38,2,0,0,976,1,0,14,6,766,3,-1,0,1
443,34,8,0,1,146,1,0,14,6,788,2,-1,0,1
444,50,2,0,0,156,0,1,14,6,1130,3,-1,0,1
445,43,3,0,1,189,1,0,14,6,1062,4,-1,0,1
446,44,3,2,0,163,1,0,14,6,1669,2,-1,0,1
447,51,4,2,0,242,0,1,14,6,1336,4,-1,0,1
448,31,2,0,0,1173,1,0,14,6,444,3,-1,0,1
449,39,2,0,1,0,1,0,14,6,894,7,-1,0,1
450,59,0,0,1,296,0,1,15,6,805,3,-1,0,1
451,25,4,1,0,333,0,1,15,6,1056,2,-1,0,1
452,58,0,0,1,3864,1,0,15,6,815,4,-1,0,1
453,30,8,0,2,2686,1,0,15,6,808,3,-1,0,1
